,user_name,top_track_name,top_track_artist
0,benjis826,Marvins Room,Drake
1,benjis826,Family Business,Kanye West
2,benjis826,Stronger,Kanye West
3,benjis826,Take Care (feat. Rihanna),Drake
4,benjis826,A.D.H.D,Kendrick Lamar
5,benjis826,No Church in the Wild (feat. Frank Ocean & The-Dream),JAY-Z & Kanye West
6,benjis826,Wake Me Up When September Ends,Green Day
7,benjis826,Wake Me Up (acoustic),Aloe Blacc
8,benjis826,Demons,Imagine Dragons
9,benjis826,Through the Wire,Kanye West
10,benjis826,Homecoming (feat. Chris Martin),Kanye West
11,benjis826,No Role Modelz,J. Cole
12,benjis826,Jesus Walks,Kanye West
13,benjis826,The Nights,Avicii
14,benjis826,Novacane,Frank Ocean
15,benjis826,Hey Mama,Kanye West
16,benjis826,Ghost Town (feat. PARTYNEXTDOOR),Kanye West
17,benjis826,American Idiot,Green Day
18,benjis826,Mr. Rager,Kid Cudi
19,benjis826,Grenade,Bruno Mars
20,benjis826,Boulevard of Broken Dreams,Green Day
21,benjis826,Dear Mama,2Pac
22,benjis826,Pursuit of Happiness (Nightmare) [feat. MGMT & Ratatat],Kid Cudi
23,benjis826,Alright,Kendrick Lamar
24,benjis826,Ultralight Beam,Kanye West
25,benjis826,'Till I Collapse (feat. Nate Dogg),Eminem
26,benjis826,Roses,Kanye West
27,benjis826,Smells Like Teen Spirit,Nirvana
28,benjis826,Viva la Vida,Coldplay
29,benjis826,Love the Way You Lie (feat. Rihanna),Eminem
30,benjis826,"Bitch, Don’t Kill My Vibe",Kendrick Lamar
31,benjis826,Solo,Frank Ocean
32,benjis826,Riptide,Vance Joy
33,benjis826,Nice Guys Finish Last,Green Day
34,benjis826,Clocks,Coldplay
35,benjis826,Nights,Frank Ocean
36,benjis826,REVOFEV,Kid Cudi
37,benjis826,Just the Way You Are,Bruno Mars
38,benjis826,The Scientist,Coldplay
39,benjis826,"Forever (with Drake, Kanye West & Lil Wayne)",Drake
40,benjis826,Mockingbird,Eminem
41,benjis826,The Message,Nas
42,benjis826,We Don't Care,Kanye West
43,benjis826,White Iverson,Post Malone
44,benjis826,03' Bonnie & Clyde (feat. Beyoncé Knowles),JAY-Z
45,benjis826,Beautiful,Eminem
46,benjis826,Bound 2,Kanye West
47,benjis826,Young Forever (feat. Mr Hudson),JAY-Z
48,benjis826,Only One (feat. Paul McCartney),Kanye West
49,benjis826,"These Walls (feat. Bilal, Anna Wise & Thundercat)",Kendrick Lamar
