,user_name,top_track_name,top_track_artist,song_rank
0,benjis826,Marvins Room,Drake,1
1,benjis826,Family Business,Kanye West,2
2,benjis826,Stronger,Kanye West,3
3,benjis826,Take Care (feat. Rihanna),Drake,4
4,benjis826,A.D.H.D,Kendrick Lamar,5
5,benjis826,No Church in the Wild (feat. Frank Ocean & The-Dream),JAY-Z & Kanye West,6
6,benjis826,Wake Me Up When September Ends,Green Day,7
7,benjis826,Wake Me Up (acoustic),Aloe Blacc,8
8,benjis826,Demons,Imagine Dragons,9
9,benjis826,Through the Wire,Kanye West,10
10,benjis826,Homecoming (feat. Chris Martin),Kanye West,11
11,benjis826,No Role Modelz,J. Cole,12
12,benjis826,Jesus Walks,Kanye West,13
13,benjis826,The Nights,Avicii,14
14,benjis826,Novacane,Frank Ocean,15
15,benjis826,Hey Mama,Kanye West,16
16,benjis826,Ghost Town (feat. PARTYNEXTDOOR),Kanye West,17
17,benjis826,American Idiot,Green Day,18
18,benjis826,Mr. Rager,Kid Cudi,19
19,benjis826,Grenade,Bruno Mars,20
20,benjis826,Boulevard of Broken Dreams,Green Day,21
21,benjis826,Dear Mama,2Pac,22
22,benjis826,Pursuit of Happiness (Nightmare) [feat. MGMT & Ratatat],Kid Cudi,23
23,benjis826,Alright,Kendrick Lamar,24
24,benjis826,Ultralight Beam,Kanye West,25
25,benjis826,'Till I Collapse (feat. Nate Dogg),Eminem,26
26,benjis826,Roses,Kanye West,27
27,benjis826,Smells Like Teen Spirit,Nirvana,28
28,benjis826,Viva la Vida,Coldplay,29
29,benjis826,Love the Way You Lie (feat. Rihanna),Eminem,30
30,benjis826,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,31
31,benjis826,Solo,Frank Ocean,32
32,benjis826,Riptide,Vance Joy,33
33,benjis826,Nice Guys Finish Last,Green Day,34
34,benjis826,Clocks,Coldplay,35
35,benjis826,Nights,Frank Ocean,36
36,benjis826,REVOFEV,Kid Cudi,37
37,benjis826,Just the Way You Are,Bruno Mars,38
38,benjis826,The Scientist,Coldplay,39
39,benjis826,"Forever (with Drake, Kanye West & Lil Wayne)",Drake,40
40,benjis826,Mockingbird,Eminem,41
41,benjis826,The Message,Nas,42
42,benjis826,We Don't Care,Kanye West,43
43,benjis826,White Iverson,Post Malone,44
44,benjis826,03' Bonnie & Clyde (feat. Beyoncé Knowles),JAY-Z,45
45,benjis826,Beautiful,Eminem,46
46,benjis826,Bound 2,Kanye West,47
47,benjis826,Young Forever (feat. Mr Hudson),JAY-Z,48
48,benjis826,Only One (feat. Paul McCartney),Kanye West,49
49,benjis826,"These Walls (feat. Bilal, Anna Wise & Thundercat)",Kendrick Lamar,50
50,oldschoolrock95,Mr. Brightside,The Killers,1
51,oldschoolrock95,Butterfly,Crazy Town,2
52,oldschoolrock95,Du hast,Rammstein,3
53,oldschoolrock95,Song #3,Stone Sour,4
54,oldschoolrock95,Rock of Ages,Def Leppard,5
55,oldschoolrock95,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,6
56,oldschoolrock95,Love Bites,Def Leppard,7
57,oldschoolrock95,The Comeback Kid,The Midnight,8
58,oldschoolrock95,Firepower,Judas Priest,9
59,oldschoolrock95,Rats,Ghost,10
60,oldschoolrock95,Survival,Muse,11
61,oldschoolrock95,I Can't Tell You Why - 2013 Remaster,Eagles,12
62,oldschoolrock95,Relax,Frankie Goes to Hollywood,13
63,oldschoolrock95,Cirice,Ghost,14
64,oldschoolrock95,Dust in the Wind,Kansas,15
65,oldschoolrock95,Animal,Def Leppard,16
66,oldschoolrock95,Livin' on a Prayer,Bon Jovi,17
67,oldschoolrock95,Community Property,Steel Panther,18
68,oldschoolrock95,New Light,John Mayer,19
69,oldschoolrock95,From Hell With Love,Beast in Black,20
70,oldschoolrock95,The Devil in I,Slipknot,21
71,oldschoolrock95,Working for the Weekend,Loverboy,22
72,oldschoolrock95,Photograph,Def Leppard,23
73,oldschoolrock95,The Boys Are Back in Town,Thin Lizzy,24
74,oldschoolrock95,You Spin Me Round (Like a Record),Dead or Alive,25
75,oldschoolrock95,Rock Rock (Till You Drop),Def Leppard,26
76,oldschoolrock95,Mary on a Cross,Ghost,27
77,oldschoolrock95,Halo,Machine Head,28
78,oldschoolrock95,Supermassive Black Hole,Muse,29
79,oldschoolrock95,Turn Up the Radio,Autograph,30
80,oldschoolrock95,Women,Def Leppard,31
81,oldschoolrock95,Mama - Remastered 2007,Genesis,32
